,CODIGO_CAMPUS,NOME_CAMPUS,UF_CAMPUS,MUNICIPIO_CAMPUS,CODIGO_IES,NOME_IES,SIGLA_IES,UF_IES
0,209,Unidade Belo Horizonte - Campus II,MG,Belo Horizonte,594,CENTRO FEDERAL DE EDUCAÃÃO TECNOLÃGICA DE MINAS GERAIS,CEFET/MG,MG
1,210,Unidade Leopoldina,MG,Leopoldina,594,CENTRO FEDERAL DE EDUCAÃÃO TECNOLÃGICA DE MINAS GERAIS,CEFET/MG,MG
2,211,Unidade Araxá,MG,Araxá,594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET/MG,MG
3,212,Unidade Divinópolis,MG,Divinópolis,594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET/MG,MG
4,220,CÃMPUS CORNÃLIO PROCÃPIO,PR,CornÃ©lio ProcÃ³pio,588,UNIVERSIDADE TECNOLÃGICA FEDERAL DO PARANÃ,UTFPR,PR
5,230,REGIONAL CATALÃO,GO,Catalão,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO
6,231,REGIONAL JATAÍ,GO,Jataí,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO
7,233,REGIONAL GOIÁS,GO,Goiás,584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO
8,252,Campus de Araras,SP,Araras,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP
9,256,Campus Universitario de Abaetetuba,PA,Abaetetuba,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
10,259,Campus de Altamira,PA,Altamira,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
11,262,Campus de Bragança,PA,Bragança,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
12,263,Campus Universitario de Cameta,PA,Cametá,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
13,267,Campus Universitário do Marajó - Breves,PA,Breves,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
14,274,Campus Universitário de Tucuruí,PA,Tucuruí,569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
15,284,Campus de Currais Novos,RN,Currais Novos,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN
16,287,Campus de Santa Cruz,RN,Santa Cruz,570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN
17,290,Campus Dom Bosco - CDB,MG,SÃ£o JoÃ£o del Rei,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG
18,291,Campus Santo AntÃ´nio,MG,SÃ£o JoÃ£o del Rei,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG
19,301,Campus de JequiÃ©,BA,JequiÃ©,688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,BA
20,304,Campus de Itapetinga,BA,Itapetinga,688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,BA
21,330,Campus de Irati,PR,Irati,1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,PR
22,338,CAMPUS DE PARNAÃBA,PI,ParnaÃ­ba,5,UNIVERSIDADE FEDERAL DO PIAUÃ,UFPI,PI
23,361,Campus Universitário do Pólo Alto Solimões,AM,Benjamin Constant,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM
24,384,CAMPUS UNIVERSITÁRIO DE ALTA FLORESTA,MT,Alta Floresta,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
25,387,Campus Universitário de Nova Xavantina,MT,Nova Xavantina,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
26,388,CAMPUS UNIVERSITÁRIO DE PONTES E LACERDA,MT,Pontes e Lacerda,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
27,389,CAMPUS UNIVERSITÁRIO DE SINOP,MT,Sinop,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
28,390,CAMPUS UNIVERSITÁRIO DE TANGARÁ DA SERRA,MT,Tangará da Serra,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
29,391,CAMPUS UNIVERSITÁRIO DEPUTADO RENE BARBOUR (BARRA DO BUGRES),MT,Barra do Bugres,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
30,550,Reitoria,PR,Cascavel,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,PR
31,551,CAMPUS DE FOZ DO IGUAÇU,PR,Foz do Iguaçu,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,PR
32,552,CAMPUS DE FRANCISCO BELTRÃO,PR,Francisco Beltrão,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,PR
33,553,CAMPUS DE MARECHAL CÂNDIDO RONDON,PR,Marechal Cândido Rondon,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,PR
34,554,Campus de Toledo,PR,Toledo,609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,PR
35,619,Campus Avançado Prefeito Walter de Sá Leitão,RN,Açu,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
36,620,Campus Avançado de Patu,RN,Patu,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
37,621,Campus Avançado Professora Maria Elisa de Albuquerque Maia,RN,Pau dos Ferros,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
38,628,Câmpus de Aquidauana - CPAQ I,MS,Aquidauana,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS
39,631,Câmpus de Três Lagoas - CPTL II,MS,Três Lagoas,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS
40,632,Campus Mata Norte,PE,Nazaré da Mata,409,UNIVERSIDADE DE PERNAMBUCO,UPE,PE
41,633,CAMPUS  PETROLINA,PE,Petrolina,409,UNIVERSIDADE DE PERNAMBUCO,UPE,PE
42,638,Campo Grande,MS,Campo Grande,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS
43,663,Campus Morro do Cruzeiro,MG,Ouro Preto,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG
44,665,Instituto de CiÃªncias Humanas e Sociais - ICHS,MG,Mariana,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG
45,670,CAMPUS UNIVERSITÁRIO CENTRAL,RN,Mossoró,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
46,757,Campus II - Centro de CiÃªncias AgrÃ¡rias - CCA - Areia,PB,Areia,579,UNIVERSIDADE FEDERAL DA PARAÃBA,UFPB,PB
47,759,Campus Dep. Jesualdo Cavalcanti,PI,Corrente,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI
48,760,Campus Prof. Alexandre Alves de Oliveira,PI,Parnaíba,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI
49,765,Campus Dra. Josefina Demes,PI,Floriano,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI
50,767,POSSIDÔNIO QUEIROZ - OEIRAS,PI,Oeiras,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI
51,768,BOM JESUS,PI,Bom Jesus,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI
52,775,"Campus III - Centro de CiÃªncias Humanas, Sociais e AgrÃ¡rias - CCHSA - Bananeiras",PB,Bananeiras,579,UNIVERSIDADE FEDERAL DA PARAÃBA,UFPB,PB
53,776,Campus de Cajazeiras,PB,Cajazeiras,2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB
54,778,Campus de Patos,PB,Patos,2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB
55,790,CAMPUS UMUARAMA,MG,Uberlândia,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG
56,794,CAMPUS EDUCAÇÃO FÍSICA,MG,Uberlândia,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG
57,825,Centro de Humanidades - Campus III,PB,Guarabira,550,UNIVERSIDADE ESTADUAL DA PARAÃBA,UEPB,PB
58,826,UEPB - Sede - Campus I,PB,Campina Grande,550,UNIVERSIDADE ESTADUAL DA PARAÃBA,UEPB,PB
59,869,Campus Universitário de Cruzeiro do Sul - Campus Floresta,AC,Cruzeiro do Sul,549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC
60,971,PRAIA VERMELHA,RJ,Rio de Janeiro,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ
61,972,Centro de CiÃªncias TecnolÃ³gicas - CCT CAMPUS II,SC,Joinville,43,FUNDAÃÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC
62,973,Centro de CiÃªncias AgroveterinÃ¡rias - CAV Campus III,SC,Lages,43,FUNDAÃÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC
63,994,FACULDADE DE DIREITO,RJ,Rio de Janeiro,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ
64,997,LARGO SÃO FRANCISCO,RJ,Rio de Janeiro,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ
65,1072,SEDE,ES,VitÃ³ria,573,UNIVERSIDADE FEDERAL DO ESPÃRITO SANTO,UFES,ES
66,1073,Campus de RibeirÃ£o Preto,SP,RibeirÃ£o Preto,55,UNIVERSIDADE DE SÃO PAULO,USP,SP
67,1093,Campus do Valonguinho,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
68,1094,Campus do GragoatÃ¡,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
69,1095,Campus da Praia Vermelha,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
70,1097,Escola de Enfermagem Aurora Afonso da Costa,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
71,1098,Faculdade de FarmÃ¡cia,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
72,1099,Faculdade de Medicina,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
73,1100,Faculdade de VeterinÃ¡ria,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
74,1101,Instituto BiomÃ©dico,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
75,1102,Instituto de Artes e ComunicaÃ§Ã£o Social,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
76,1103,Faculdade de Direito I,RJ,NiterÃ³i,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
77,1104,Faculdade de Direito II,RJ,Niterói,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
78,1106,CAMPUS CENTRO: Escola de Engenharia de Volta Redonda,RJ,Volta Redonda,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
79,1153,Campus Universitário Cidade do Recife,PE,Recife,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE
80,1233,Campus Pasteur 436,RJ,Rio de Janeiro,693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ
81,1298,Instituto de Arquitetura e Urbanismo - IAU,SP,São Carlos,55,UNIVERSIDADE DE SÃO PAULO,USP,SP
82,1299,Escola Superior de Agricultura Luiz de Queiroz - ESALQ,SP,Piracicaba,55,UNIVERSIDADE DE SÃO PAULO,USP,SP
83,1300,Faculdade de Zootecnia e Engenharia de Alimentos - FZEA,SP,Pirassununga,55,UNIVERSIDADE DE SÃO PAULO,USP,SP
84,1301,Faculdade de Odontologia de Bauru - FOB,SP,Bauru,55,UNIVERSIDADE DE SÃO PAULO,USP,SP
85,1337,CAMPUS DE BACABAL,MA,Bacabal,548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA
86,1442,IFAM - CAMPUS MANAUS DISTRITO INDUSTRIAL,AM,Manaus,1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,AM
87,1451,Campus da Saúde Prof João Cardoso Nascimento Júnior,SE,Aracaju,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE
88,1551,Campus II - Alagoinhas,BA,Alagoinhas,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
89,1555,Campus IV - Jacobina,BA,Jacobina,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
90,1556,Campus V - Santo Antônio de Jesus,BA,Santo Antônio de Jesus,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
91,1558,Campus VII - Senhor do Bonfim,BA,Senhor do Bonfim,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
92,1559,Campus VIII - Paulo Afonso,BA,Paulo Afonso,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
93,1560,Campus IX - Barreiras,BA,Barreiras,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
94,1565,Campus XIV - ConceiÃ§Ã£o do CoitÃ©,BA,ConceiÃ§Ã£o do CoitÃ©,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
95,1568,Departamento de CiÃªncias Humanas e Tecnologias - Campus XVII - Bom Jesus da Lapa,BA,Bom Jesus da Lapa,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
96,1570,Campus XIX - CamaÃ§arÃ­,BA,CamaÃ§ari,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
97,1618,Campus de Parauapebas/UFRA,PA,Parauapebas,590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA
98,1635,Câmpus de Coxim - CPCX,MS,Coxim,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS
99,1636,Câmpus de Paranaíba - CPAR,MS,Paranaíba,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS
100,1659,CAMPUS DE ALMENARA,MG,Almenara,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
101,1660,CAMPUS DE JANAÃBA,MG,JanaÃºba,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
102,1661,CAMPUS DE PIRAPORA,MG,Pirapora,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
103,1662,CAMPUS DE JANUÃRIA,MG,JanuÃ¡ria,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
104,1663,CEFET-RJ - MARIA DA GRAÃA,RJ,Rio de Janeiro,593,CENTRO FEDERAL DE EDUCAÃÃO TECNOLÃGICA CELSO SUCKOW DA FONSECA,CEFET/RJ,RJ
105,1809,CAMPUS VITÃRIA DA CONQUISTA,BA,VitÃ³ria da Conquista,599,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DA BAHIA",IFBA,BA
106,1864,Campus Marechal Deodoro,AL,Marechal Deodoro,3160,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DE ALAGOAS",IFAL,AL
107,1865,Campus e Polo UAB - Palmeira dos Ãndios,AL,Palmeira dos Ãndios,3160,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DE ALAGOAS",IFAL,AL
108,1898,Campus Avançado de Natal,RN,Natal,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
109,1904,Campus de Caicó,RN,Caicó,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
110,1930,Campus Rio de Janeiro,RJ,Rio de Janeiro,3163,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,RJ
111,2036,CAMPUS SANTO AMARO,PE,Recife,409,UNIVERSIDADE DE PERNAMBUCO,UPE,PE
112,2244,Campus - JoÃ£o Monlevade - ICEA,MG,JoÃ£o Monlevade,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG
113,2372,Campus de Juazeiro do Norte,CE,Juazeiro do Norte,1807,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DO CEARÃ",IFCE,CE
114,2374,Campus de Cedro,CE,Cedro,1807,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DO CEARÃ",IFCE,CE
115,2418,CAMPUS DE SÃO FRANCISCO,MG,São Francisco,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
116,2420,CAMPUS DE ESPINOSA,MG,Espinosa,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
117,2422,CAMPUS DE BRASÍLIA DE MINAS,MG,Brasília de Minas,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
118,2581,Unidade Universitária de Amambai,MS,Amambai,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
119,2583,Unidade Universitária de Aquidauana,MS,Aquidauana,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
120,2585,Unidade Universitária de Cassilândia,MS,Cassilândia,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
121,2586,Unidade Universitária de Coxim,MS,Coxim,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
122,2588,Unidade Universitária de Ivinhema,MS,Ivinhema,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
123,2589,Unidade Universitária de Jardim,MS,Jardim,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
